//ChatOther-ItemVulva-DeepThroat,SourceCharacter deepthroats TargetCharacter's ActivityAsset.
ChatOther-ItemVulva-ReversePenetratePussy,SourceCharacter fucks TargetCharacter's ActivityAsset with PronounPossessive TargetCharacterPussy.
ChatOther-ItemVulva-GaggedKiss,SourceCharacter pushes PronounPossessive gag into TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-Kick,SourceCharacter kicks TargetCharacter on TargetPronounPossessive TargetCharacterPussy.
ChatOther-ItemVulva-Kiss,SourceCharacter kisses TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-Lick,SourceCharacter licks TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-MasturbateFist,SourceCharacter masturbates TargetCharacter's TargetCharacterPussy with PronounPossessive full fist.
ChatOther-ItemVulva-MasturbateFoot,SourceCharacter masturbates TargetCharacter's TargetCharacterPussy with PronounPossessive foot.
ChatOther-ItemVulva-MasturbateHand,SourceCharacter masturbates TargetCharacter's TargetCharacterPussy with PronounPossessive fingers.
ChatOther-ItemVulva-MasturbateItem,SourceCharacter uses PronounPossessive ActivityAsset to masturbate TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-MasturbateTongue,SourceCharacter masturbates TargetCharacter's TargetCharacterPussy with PronounPossessive tongue.
ChatOther-ItemVulva-Nibble,SourceCharacter nibbles TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-PenetrateFast,SourceCharacter roughly penetrates TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.
ChatOther-ItemVulva-PenetrateSlow,SourceCharacter slowly penetrates TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.
ChatOther-ItemVulva-RubItem,SourceCharacter rubs TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.
ChatOther-ItemVulva-Scratch,SourceCharacter scratches over TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-ShockItem,SourceCharacter shocks TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.
ChatOther-ItemVulva-Slap,SourceCharacter slaps TargetCharacter's TargetCharacterPussy.
ChatOther-ItemVulva-SpankItem,SourceCharacter hits TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.
ChatOther-ItemVulva-SuckPenetrateItem,SourceCharacter sucks on TargetCharacter's ActivityAsset.
ChatOther-ItemVulva-ReverseSuckItem,SourceCharacter eagerly sucks TargetCharacter's ActivityAsset.
ChatOther-ItemVulva-TickleItem,SourceCharacter tickles TargetCharacter's TargetCharacterPussy with PronounPossessive ActivityAsset.

ChatSelf-ItemVulva-Caress,SourceCharacter caresses PronounPossessive SourceCharacterPussy.
ChatSelf-ItemVulva-MasturbateFist,SourceCharacter fists and masturbates PronounPossessive SourceCharacterPussy.
ChatSelf-ItemVulva-MasturbateHand,SourceCharacter masturbates PronounPossessive SourceCharacterPussy.
ChatSelf-ItemVulva-MasturbateItem,SourceCharacter masturbates PronounPossessive own SourceCharacterPussy with PronounPossessive ActivityAsset.
ChatSelf-ItemVulva-RubItem,SourceCharacter rubs PronounPossessive own SourceCharacterPussy with PronounPossessive ActivityAsset.
ChatSelf-ItemVulva-Scratch,SourceCharacter scratches PronounPossessive SourceCharacterPussy.
ChatSelf-ItemVulva-ShockItem,SourceCharacter shocks PronounPossessive own SourceCharacterPussy with PronounPossessive ActivityAsset.
ChatSelf-ItemVulva-Slap,SourceCharacter slaps PronounPossessive SourceCharacterPussy.
ChatSelf-ItemVulva-SpankItem,SourceCharacter hits PronounPossessive SourceCharacterPussy with PronounPossessive ActivityAsset.
ChatSelf-ItemVulva-TickleItem,SourceCharacter tickles PronounPossessive own SourceCharacterPussy with PronounPossessive ActivityAsset.
ChatSelf-ItemVulvaPiercings-Caress,SourceCharacter caresses PronounPossessive SourceCharacterClitoris.
ChatSelf-ItemVulvaPiercings-Inject,SourceCharacter injects PronounPossessive SourceCharacterClitoris.
ChatSelf-ItemVulvaPiercings-MasturbateHand,SourceCharacter masturbates PronounPossessive SourceCharacterClitoris.
ChatSelf-ItemVulvaPiercings-MasturbateItem,SourceCharacter masturbates PronounPossessive own SourceCharacterClitoris with PronounPossessive ActivityAsset.
ChatSelf-ItemVulvaPiercings-RubItem,SourceCharacter rubs PronounPossessive own SourceCharacterClitoris with PronounPossessive ActivityAsset.
ChatSelf-ItemVulvaPiercings-ShockItem,SourceCharacter shocks PronounPossessive own SourceCharacterClitoris with PronounPossessive ActivityAsset.
ChatSelf-ItemVulvaPiercings-Slap,SourceCharacter slaps PronounPossessive SourceCharacterClitoris.
ChatSelf-ItemVulvaPiercings-SpankItem,SourceCharacter hits PronounPossessive SourceCharacterClitoris with PronounPossessive ActivityAsset.
ChatSelf-ItemVulvaPiercings-TickleItem,SourceCharacter tickles PronounPossessive own SourceCharacterClitoris with PronounPossessive ActivityAsset.

ChatOther-ItemVulvaPiercings-Caress,SourceCharacter caresses TargetCharacter's TargetCharacterClitoris with PronounPossessive fingers.
ChatOther-ItemVulvaPiercings-GaggedKiss,SourceCharacter gags kiss TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-Inject,SourceCharacter injects TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-Kick,SourceCharacter kicks TargetCharacter on TargetPronounPossessive TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-Kiss,SourceCharacter kisses TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-Lick,SourceCharacter licks TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-MasturbateFoot,SourceCharacter masturbates TargetCharacter's TargetCharacterClitoris with PronounPossessive foot.
ChatOther-ItemVulvaPiercings-MasturbateHand,SourceCharacter masturbates TargetCharacter's TargetCharacterClitoris with PronounPossessive fingers.
ChatOther-ItemVulvaPiercings-MasturbateItem,SourceCharacter uses PronounPossessive ActivityAsset to masturbate TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-MasturbateTongue,SourceCharacter masturbates TargetCharacter's TargetCharacterClitoris with PronounPossessive tongue.
ChatOther-ItemVulvaPiercings-Nibble,SourceCharacter nibbles TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-RubItem,SourceCharacter rubs TargetCharacter's TargetCharacterClitoris with PronounPossessive ActivityAsset.
ChatOther-ItemVulvaPiercings-ShockItem,SourceCharacter shocks TargetCharacter's TargetCharacterClitoris with PronounPossessive ActivityAsset.
ChatOther-ItemVulvaPiercings-Slap,SourceCharacter slaps TargetCharacter's TargetCharacterClitoris.
ChatOther-ItemVulvaPiercings-SpankItem,SourceCharacter hits TargetCharacter's TargetCharacterClitoris with PronounPossessive ActivityAsset.
ChatOther-ItemVulvaPiercings-TickleItem,SourceCharacter tickles TargetCharacter's TargetCharacterClitoris with PronounPossessive ActivityAsset.

ChatSelf-ItemGlans-Caress,SourceCharacter caresses PronounPossessive SourceCharacterGlands.
ChatSelf-ItemGlans-Inject,SourceCharacter injects PronounPossessive SourceCharacterGlands.
ChatSelf-ItemGlans-MasturbateHand,SourceCharacter masturbates PronounPossessive SourceCharacterGlands.
ChatSelf-ItemGlans-MasturbateItem,SourceCharacter masturbates PronounPossessive own SourceCharacterGlands with PronounPossessive ActivityAsset.
ChatSelf-ItemGlans-RubItem,SourceCharacter rubs PronounPossessive own SourceCharacterGlands with PronounPossessive ActivityAsset.
ChatSelf-ItemGlans-ShockItem,SourceCharacter shocks PronounPossessive own SourceCharacterGlands with PronounPossessive ActivityAsset.
ChatSelf-ItemGlans-Slap,SourceCharacter slaps PronounPossessive SourceCharacterGlands.
ChatSelf-ItemGlans-SpankItem,SourceCharacter hits PronounPossessive SourceCharacterGlands with PronounPossessive ActivityAsset.
ChatSelf-ItemGlans-TickleItem,SourceCharacter tickles PronounPossessive own SourceCharacterGlands with PronounPossessive ActivityAsset.

ChatOther-ItemGlans-Caress,SourceCharacter caresses TargetCharacter's TargetCharacterGlands with PronounPossessive fingers.
ChatOther-ItemGlans-GaggedKiss,SourceCharacter gags kiss TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-Inject,SourceCharacter injects TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-Kick,SourceCharacter kicks TargetCharacter on TargetPronounPossessive TargetCharacterGlands.
ChatOther-ItemGlans-Kiss,SourceCharacter kisses TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-Lick,SourceCharacter licks TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-MasturbateFoot,SourceCharacter masturbates TargetCharacter's TargetCharacterGlands with PronounPossessive foot.
ChatOther-ItemGlans-MasturbateHand,SourceCharacter masturbates TargetCharacter's TargetCharacterGlands with PronounPossessive fingers.
ChatOther-ItemGlans-MasturbateItem,SourceCharacter uses PronounPossessive ActivityAsset to masturbate TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-MasturbateTongue,SourceCharacter masturbates TargetCharacter's TargetCharacterGlands with PronounPossessive tongue.
ChatOther-ItemGlans-Nibble,SourceCharacter nibbles TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-RubItem,SourceCharacter rubs TargetCharacter's TargetCharacterGlands with PronounPossessive ActivityAsset.
ChatOther-ItemGlans-ShockItem,SourceCharacter shocks TargetCharacter's TargetCharacterGlands with PronounPossessive ActivityAsset.
ChatOther-ItemGlans-Slap,SourceCharacter slaps TargetCharacter's TargetCharacterGlands.
ChatOther-ItemGlans-SpankItem,SourceCharacter hits TargetCharacter's TargetCharacterGlands with PronounPossessive ActivityAsset.
ChatOther-ItemGlans-TickleItem,SourceCharacter tickles TargetCharacter's TargetCharacterGlands with PronounPossessive ActivityAsset.

ChatOther-ItemPenis-ReversePenetrateAss,SourceCharacter fucks TargetCharacter's ActivityAsset with PronounPossessive TargetCharacterAss.
ChatOther-ItemPenis-Caress,SourceCharacter caresses TargetCharacter's TargetCharacterPenis with PronounPossessive fingers.
ChatOther-ItemPenis-ReversePenetratePussy,SourceCharacter fucks TargetCharacter's ActivityAsset with PronounPossessive TargetCharacterPenis.
ChatOther-ItemPenis-GaggedKiss,SourceCharacter presses PronounPossessive gag into TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-Kick,SourceCharacter kicks TargetCharacter on TargetPronounPossessive TargetCharacterPenis.
ChatOther-ItemPenis-Kiss,SourceCharacter kisses TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-Lick,SourceCharacter licks TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-MasturbateFoot,SourceCharacter masturbates TargetCharacter's TargetCharacterPenis with PronounPossessive foot.
ChatOther-ItemPenis-MasturbateHand,SourceCharacter masturbates TargetCharacter's TargetCharacterPenis with PronounPossessive fingers.
ChatOther-ItemPenis-MasturbateItem,SourceCharacter uses PronounPossessive ActivityAsset to masturbate TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-MasturbateTongue,SourceCharacter masturbates TargetCharacter's TargetCharacterPenis with PronounPossessive tongue.
ChatOther-ItemPenis-Nibble,SourceCharacter nibbles TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-RubItem,SourceCharacter rubs TargetCharacter's TargetCharacterPenis with PronounPossessive ActivityAsset.
ChatOther-ItemPenis-ShockItem,SourceCharacter shocks TargetCharacter's TargetCharacterPenis with PronounPossessive ActivityAsset.
ChatOther-ItemPenis-Slap,SourceCharacter slaps TargetCharacter's TargetCharacterPenis.
ChatOther-ItemPenis-SpankItem,SourceCharacter hits TargetCharacter's TargetCharacterPenis with PronounPossessive ActivityAsset.
ChatOther-ItemPenis-ReverseSuckItem,SourceCharacter eagerly sucks TargetCharacter's ActivityAsset.
ChatOther-ItemPenis-TickleItem,SourceCharacter tickles TargetCharacter's TargetCharacterPenis with PronounPossessive ActivityAsset.
ChatOther-ItemPenis-SuckPenetrateItem,SourceCharacter sucks on TargetCharacter's ActivityAsset.
ChatOther-ItemPenis-DeepThroat,SourceCharacter deep throats TargetCharacter's ActivityAsset.

ChatSelf-ItemPenis-Caress,SourceCharacter caresses PronounPossessive SourceCharacterPenis.
ChatSelf-ItemPenis-MasturbateFist,SourceCharacter fists and masturbates PronounPossessive SourceCharacterPenis.
ChatSelf-ItemPenis-MasturbateHand,SourceCharacter masturbates PronounPossessive SourceCharacterPenis.
ChatSelf-ItemPenis-MasturbateItem,SourceCharacter masturbates PronounPossessive SourceCharacterPenis with PronounPossessive ActivityAsset.
ChatSelf-ItemPenis-RubItem,SourceCharacter rubs PronounPossessive SourceCharacterPenis with PronounPossessive ActivityAsset.
ChatSelf-ItemPenis-ShockItem,SourceCharacter shocks PronounPossessive SourceCharacterPenis with PronounPossessive ActivityAsset.
ChatSelf-ItemPenis-Slap,SourceCharacter slaps PronounPossessive SourceCharacterPenis.
ChatSelf-ItemPenis-SpankItem,SourceCharacter hits PronounPossessive SourceCharacterPenis with PronounPossessive ActivityAsset.
ChatSelf-ItemPenis-TickleItem,SourceCharacter tickles PronounPossessive SourceCharacterPenis with PronounPossessive ActivityAsset.
